iso3c,forests_2000,forests_2020,trend
Afghanistan,1.9,1.9,0
Albania,28.1,28.8,2.5
Algeria,0.7,0.8,14.3
American Samoa,88.7,85.7,-3.4
Andorra,34,34,0
Angola,62.3,53.4,-14.3
Anguilla,61.1,61.1,0
Antigua and Barbuda,21.5,18.5,-14
Argentina,12.2,10.4,-14.8
Amernia,11.7,11.5,-1.7
Aruba,2.3,2.3,0
Australia,17.2,17.4,1.2
Austria,46.5,47.3,1.7
Azerbaijan,12,13.7,14.2
Bahamas,50.9,50.9,0
Bahrain,0.5,0.9,80
Bangladesh,14.8,14.5,-2
Barbados,14.7,14.7,0
Belarus,40.8,43.2,5.9
Belgium,22,22.8,3.6
Belize,64,56,-12.5
Benin,36.7,27.8,-24.3
Bermuda,18.5,18.5,0
Bhutan,65.5,71.4,9
Bolivia,50.9,46.9,-7.9
"Bonaire, Sint Eustatius and Saba",5.9,5.9,0
Bosnia and Herzegovina,41.2,42.7,3.6
Botswana,31.1,26.9,-13.5
Brazil,65.9,59.4,-9.9
Virgin Islands (British),24.5,24.1,-1.6
Brunei Darussalam,75.3,72.1,-4.2
Bulgaria,30.5,35.9,17.7
Burkina Faso,26.4,22.7,-14
Burundi,7.6,10.9,43.4
Cabo Verde,9.9,11.3,14.1
Cambodia,61.1,45.7,-25.2
Cameroon,45.7,43,-5.9
Canada,38.8,38.7,-0.3
Cayman Islands,53.9,53,-1.7
Central African Republic,36.8,35.8,-2.7
Chad,5,3.4,-32
Chile,21.3,24.5,15
China,18.8,23.3,23.9
Colombia,56.5,53.3,-5.7
Comoros,22.4,17.7,-21
Congo,65,64.3,-1.1
Cook Islands,64.9,65,0.2
Costa Rica,56,59.4,6.1
 Côte d'Ivoire,16,8.9,-44.4
Croatia,33.7,34.6,2.7
Cuba,22.7,31.2,37.4
Curacao,0.2,0.2,0
Cyprus,18.6,18.7,0.5
Czechia,34.1,34.7,1.8
Democratic People's Republic of Korea,53.6,50.1,-6.5
Democratic Republic of the Congo,63.5,55.6,-12.4
Denmark,14.3,15.7,9.8
Djibouti,0.2,0.3,50
Dominica,63.8,63.8,0
Dominican Republic,40.8,44.4,8.8
Ecuador,55.3,50.3,-9
Egypt,0.1,0,-100
El Salvador,32.5,28.2,-13.2
Equatorial Guinea,93.2,87.3,-6.3
Eritrea,9.2,8.7,-5.4
Estonia,52.8,56.1,6.3
Eswatini,27.5,28.9,5.1
Ethiopia,16.4,15.1,-7.9
Falkland Islands,0,0,
Faroe Islands,0.1,0.1,0
Fiji,55.1,62.4,13.2
Finland,73.7,73.7,0
France,27.9,31.5,12.9
Frenc Guiana,97.7,96.6,-1.1
Frenc h Polynesia,42.8,43.1,0.7
Gabon,92,91.3,-0.8
Gambia,35.3,24,-32
Georgia,39.7,40.6,2.3
Germany,32.5,32.7,0.6
Ghana,38.9,35.1,-9.8
Gibraltar,0,0,
Greece,27.9,30.3,8.6
Greenland,0,0,
Grenada,52.1,52.1,0
Guedaloupe,42.8,44.4,3.7
Guam,44.4,51.9,16.9
Guatemala,39.3,32.9,-16.3
Guernsey,2.9,5.4,86.2
Guinea,28.2,25.2,-10.6
Guinea-Bissau,76.4,70.4,-7.9
Guyana,94.3,93.6,-0.7
Haiti,13.8,12.6,-8.7
Vatican City,0,0,
Honduras,60.6,56.8,-6.3
Hungary,21.4,22.5,5.1
Iceland,0.3,0.5,66.7
India,22.7,24.3,7
Indonesia,53.9,49.1,-8.9
Iran,5.7,6.6,15.8
Iraq,1.9,1.9,0
Ireland,9.2,11.4,23.9
Isle of Man,6.1,6.1,0
Israel ,7.1,6.5,-8.5
Italy,28.3,32.3,14.1
Jamaica,48.1,55.1,14.6
Japan,68.2,68.4,0.3
Jersey,5,5,0
Jordan,1.1,1.1,0
Kazakhstan,1.2,1.3,8.3
Kenya,7,6.3,-10
Kiribati,1.5,1.5,0
Kiwait,0.3,0.4,33.3
Kurgyzstan,6.2,6.9,11.3
Laos,75.5,71.9,-4.8
Latvia,52.1,54.8,5.2
