Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
World,WLD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.6578577151982,47.1030448765197,47.5926181997335,48.0839615964876,48.5829023019386,49.0880400467304,49.5882609391725,50.0818289225899,50.5883270492273,51.0869331741482,51.5762120154319,52.0218135501306,52.461280460224,52.9088674665259,53.3645718877624,53.8272499686749,54.2860663497877,54.7388680161327,55.1876216343615,55.6306124972328,56.0647314414528
Afghanistan,AFG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,22.078,22.169,22.261,22.353,22.5,22.703,22.907,23.113,23.32,23.528,23.737,23.948,24.16,24.373,24.587,24.803,25.02,25.25,25.495,25.754,26.026
Albania,ALB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,41.741,42.435,43.501,44.573,45.651,46.731,47.815,48.902,49.991,51.076,52.163,53.247,54.33,55.387,56.423,57.434,58.421,59.383,60.319,61.229,62.112
Algeria,DZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,59.919,60.712,61.501,62.284,63.061,63.83,64.593,65.348,66.097,66.826,67.54,68.236,68.915,69.576,70.221,70.848,71.459,72.052,72.629,73.189,73.733
American Samoa,ASM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.587,88.491,88.394,88.297,88.198,88.1,88,87.9,87.799,87.697,87.594,87.502,87.42,87.348,87.288,87.238,87.198,87.17,87.153,87.147,87.153
Andorra,AND,Urban population (% of total population),SP.URB.TOTL.IN.ZS,92.395,92.056,91.641,91.207,90.751,90.285,89.807,89.308,89.004,88.912,88.819,88.726,88.631,88.537,88.441,88.345,88.248,88.15,88.062,87.984,87.916
Angola,AGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.087,51.274,52.461,53.645,54.827,56,56.764,57.524,58.282,59.034,59.783,60.528,61.268,62.002,62.731,63.446,64.149,64.839,65.514,66.177,66.825
Antigua and Barbuda,ATG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,32.127,31.74,31.098,30.464,29.837,29.218,28.606,28.002,27.405,26.818,26.238,25.703,25.526,25.35,25.175,25,24.846,24.713,24.599,24.506,24.433
Argentina,ARG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,89.142,89.329,89.51,89.686,89.86,90.031,90.2,90.366,90.53,90.691,90.849,90.99,91.121,91.249,91.377,91.503,91.627,91.749,91.87,91.991,92.111
Armenia,ARM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,64.666,64.385,64.236,64.137,64.038,63.938,63.839,63.739,63.64,63.54,63.44,63.34,63.24,63.164,63.112,63.085,63.082,63.103,63.149,63.219,63.313
Aruba,ABW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,46.717,46.339,45.972,45.606,45.24,44.875,44.511,44.147,43.783,43.421,43.059,42.94,42.957,42.99,43.041,43.108,43.192,43.293,43.411,43.546,43.697
Australia,AUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,84.235,84.1,84.222,84.343,84.463,84.582,84.7,84.822,84.943,85.063,85.182,85.3,85.402,85.502,85.602,85.701,85.8,85.904,86.012,86.124,86.241
Austria,AUT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,60.213,59.934,59.655,59.375,59.094,58.813,58.532,58.249,57.966,57.683,57.399,57.115,57.147,57.336,57.526,57.715,57.905,58.094,58.297,58.515,58.748
Azerbaijan,AZE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.386,51.587,51.787,51.988,52.189,52.389,52.589,52.79,52.99,53.19,53.406,53.637,53.883,54.145,54.422,54.714,55.021,55.343,55.68,56.031,56.397
"Bahamas, The",BHS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,82.007,82.049,82.092,82.134,82.176,82.218,82.26,82.302,82.343,82.385,82.427,82.476,82.532,82.596,82.668,82.746,82.832,82.925,83.025,83.132,83.245
Bahrain,BHR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,88.372,88.369,88.373,88.383,88.399,88.422,88.452,88.488,88.53,88.579,88.634,88.695,88.762,88.835,88.915,88.999,89.09,89.186,89.287,89.394,89.506
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.59,24.096,24.756,25.429,26.114,26.809,27.517,28.237,28.968,29.709,30.462,31.225,31.993,32.762,33.535,34.308,35.083,35.858,36.632,37.405,38.177
